Node,Name,Parent,Type
H1-2-1-2,Chicago,H1-2-1,detail
H1-2-1-3,New York,H1-2-1,detail
H1-3-1,Barroco,H1-3,detail
H1-3-2,Clásico,H1-3,detail
H1-3-3,Romántico,H1-3,detail

I1,Cluster Gastronómico,,detail
I1-1,Italiana,I1,detail
I1-2,Francesa,I1,detail
I1-3,Japonesa,I1,detail
I1-1-1,Pasta,I1-1,detail
I1-1-2,Pizza,I1-1,detail
I1-1-3,Risotto,I1-1,detail
I1-1-1-1,Spaghetti,I1-1-1,detail
I1-1-1-2,Fettuccine,I1-1-1,detail
I1-1-1-3,Penne,I1-1-1,detail
I1-1-2-1,Margherita,I1-1-2,detail
I1-1-2-2,Pepperoni,I1-1-2,detail
I1-1-2-3,Cuatro Quesos,I1-1-2,detail
I1-2-1,Haute Cuisine,I1-2,detail
I1-2-2,Bistro,I1-2,detail
I1-2-3,Provincial,I1-2,detail
I1-2-1-1,Sauces,I1-2-1,detail
I1-2-1-2,Técnicas,I1-2-1,detail
I1-2-1-3,Presentación,I1-2-1,detail
I1-3-1,Sushi,I1-3,detail
I1-3-2,Ramen,I1-3,detail
I1-3-3,Tempura,I1-3,detail

J1,Cluster Automotriz,,detail
J1-1,Alemanas,J1,detail
J1-2,Japonesas,J1,detail
J1-3,Italianas,J1,detail
J1-1-1,BMW,J1-1,detail
J1-1-2,Mercedes,J1-1,detail
J1-1-3,Audi,J1-1,detail
J1-1-1-1,Serie 3,J1-1-1,detail
J1-1-1-2,Serie 5,J1-1-1,detail
J1-1-1-3,Serie 7,J1-1-1,detail
J1-1-1-1-1,Sedán,J1-1-1-1,detail
J1-1-1-1-2,Coupe,J1-1-1-1,detail
J1-1-1-1-3,Touring,J1-1-1-1,detail
J1-1-2-1,Clase C,J1-1-2,detail
J1-1-2-2,Clase E,J1-1-2,detail
J1-1-2-3,Clase S,J1-1-2,detail
J1-2-1,Toyota,J1-2,detail
J1-2-2,Honda,J1-2,detail
J1-2-3,Nissan,J1-2,detail
J1-2-1-1,Camry,J1-2-1,detail
J1-2-1-2,Corolla,J1-2-1,detail
J1-2-1-3,Prius,J1-2-1,detail
J1-3-1,Ferrari,J1-3,detail
J1-3-2,Lamborghini,J1-3,detail
J1-3-3,Maserati,J1-3,detail

K1,Cluster Tecnológico Móvil,,detail
K1-1,Smartphones,K1,detail
K1-2,Tablets,K1,detail
K1-3,Wearables,K1,detail
K1-1-1,Apple,K1-1,detail
K1-1-2,Samsung,K1-1,detail
K1-1-3,Xiaomi,K1-1,detail
K1-1-1-1,iPhone,K1-1-1,detail
K1-1-1-2,iPad,K1-1-1,detail
K1-1-1-3,MacBook,K1-1-1,detail
K1-1-1-1-1,iPhone 15,K1-1-1-1,detail
K1-1-1-1-2,iPhone 14,K1-1-1-1,detail
K1-1-1-1-3,iPhone 13,K1-1-1-1,detail
K1-1-2-1,Galaxy S,K1-1-2,detail
K1-1-2-2,Galaxy Note,K1-1-2,detail
K1-1-2-3,Galaxy A,K1-1-2,detail
K1-1-2-1-1,S24,K1-1-2-1,detail
K1-1-2-1-2,S23,K1-1-2-1,detail
K1-1-2-1-3,S22,K1-1-2-1,detail
K1-2-1,iPad Pro,K1-2,detail
K1-2-2,iPad Air,K1-2,detail
K1-2-3,iPad Mini,K1-2,detail
K1-3-1,Apple Watch,K1-3,detail
K1-3-2,Galaxy Watch,K1-3,detail
K1-3-3,Fitbit,K1-3,detail

L1,Cluster Redes Sociales,,detail
L1-1,Facebook,L1,detail
L1-2,Instagram,L1,detail
L1-3,Twitter,L1,detail
L1-1-1,Facebook App,L1-1,detail
L1-1-2,Messenger,L1-1,detail
L1-1-3,WhatsApp,L1-1,detail
L1-1-1-1,Feed,L1-1-1,detail
L1-1-1-2,Stories,L1-1-1,detail
L1-1-1-3,Reels,L1-1-1,detail
L1-1-1-1-1,Posts,L1-1-1-1,detail
L1-1-1-1-2,Comentarios,L1-1-1-1,detail
L1-1-1-1-3,Likes,L1-1-1-1,detail
L1-2-1,Feed,L1-2,detail
L1-2-2,Stories,L1-2,detail
L1-2-3,IGTV,L1-2,detail
L1-2-1-1,Fotos,L1-2-1,detail
L1-2-1-2,Videos,L1-2-1,detail
L1-2-1-3,Carousel,L1-2-1,detail
L1-3-1,Tweets,L1-3,detail
L1-3-2,Retweets,L1-3,detail
L1-3-3,Threads,L1-3,detail
L1-3-1-1,Texto,L1-3-1,detail
L1-3-1-2,Imágenes,L1-3-1,detail
L1-3-1-3,Videos,L1-3-1,detail

M1,Cluster Videojuegos,,detail
M1-1,PC,M1,detail
M1-2,Consolas,M1,detail
M1-3,Móvil,M1,detail
M1-1-1,Steam,M1-1,detail
M1-1-2,Epic Games,M1-1,detail
M1-1-3,GOG,M1-1,detail
M1-1-1-1,Acción,M1-1-1,detail
M1-1-1-2,Aventura,M1-1-1,detail
M1-1-1-3,RPG,M1-1-1,detail
M1-1-1-1-1,FPS,M1-1-1-1,detail
M1-1-1-1-2,Plataformas,M1-1-1-1,detail
M1-1-1-1-3,Lucha,M1-1-1-1,detail
M1-1-1-2-1,Exploración,M1-1-1-2,detail
M1-1-1-2-2,Puzzle,M1-1-1-2,detail
M1-1-1-2-3,Survival,M1-1-1-2,detail
M1-2-1,PlayStation,M1-2,detail
M1-2-2,Xbox,M1-2,detail
M1-2-3,Nintendo,M1-2,detail
M1-2-1-1,PS5,M1-2-1,detail
M1-2-1-2,PS4,M1-2-1,detail
M1-2-1-3,PS3,M1-2-1,detail
M1-2-2-1,Xbox Series X,M1-2-2,detail
M1-2-2-2,Xbox One,M1-2-2,detail
M1-2-3-1,Switch,M1-2-3,detail
M1-2-3-2,3DS,M1-2-3,detail
M1-3-1,Android,M1-3,detail
M1-3-2,iOS,M1-3,detail
M1-3-3,Arcade,M1-3,detail

N1,Cluster Streaming,,detail
N1-1,Netflix,N1,detail
N1-2,Disney+,N1,detail
N1-3,Amazon Prime,N1,detail
N1-1-1,Películas,N1-1,detail
N1-1-2,Series,N1-1,detail
N1-1-3,Documentales,N1-1,detail
N1-1-1-1,Acción,N1-1-1,detail
N1-1-1-2,Drama,N1-1-1,detail
N1-1-1-3,Comedia,N1-1-1,detail
N1-1-1-1-1,Superhéroes,N1-1-1-1,detail
N1-1-1-1-2,Espías,N1-1-1-1,detail
N1-1-1-1-3,Deportes,N1-1-1-1,detail
N1-1-2-1,Drama,N1-1-2,detail
N1-1-2-2,Comedia,N1-1-2,detail
N1-1-2-3,Ciencia Ficción,N1-1-2,detail
N1-1-2-1-1,Thriller,N1-1-2-1,detail
N1-1-2-1-2,Romance,N1-1-2-1,detail
N1-1-2-1-3,Histórico,N1-1-2-1,detail
N1-2-1,Marvel,N1-2,detail
N1-2-2,Star Wars,N1-2,detail
N1-2-3,Pixar,N1-2,detail
N1-2-1-1,Avengers,N1-2-1,detail
N1-2-1-2,X-Men,N1-2-1,detail
N1-2-1-3,Spider-Man,N1-2-1,detail
N1-3-1,Originales,N1-3,detail
N1-3-2,Licencias,N1-3,detail
N1-3-3,Deportes,N1-3,detail

O1,Cluster E-commerce,,detail
O1-1,Amazon,O1,detail
O1-2,eBay,O1,detail
O1-3,Alibaba,O1,detail
O1-1-1,Electrónica,O1-1,detail
O1-1-2,Ropa,O1-1,detail
O1-1-3,Hogar,O1-1,detail
O1-1-1-1,Smartphones,O1-1-1,detail
O1-1-1-2,Laptops,O1-1-1,detail
O1-1-1-3,Tablets,O1-1-1,detail
O1-1-1-1-1,Apple,O1-1-1-1,detail
O1-1-1-1-2,Samsung,O1-1-1-1,detail
O1-1-1-1-3,Xiaomi,O1-1-1-1,detail
O1-1-2-1,Hombres,O1-1-2,detail
O1-1-2-2,Mujeres,O1-1-2,detail
O1-1-2-3,Niños,O1-1-2,detail
O1-1-2-1-1,Camisetas,O1-1-2-1,detail
O1-1-2-1-2,Pantalones,O1-1-2-1,detail
O1-1-2-1-3,Zapatos,O1-1-2-1,detail
O1-2-1,Subastas,O1-2,detail
O1-2-2,Comprar Ahora,O1-2,detail
O1-2-3,Outlet,O1-2,detail
O1-2-1-1,Arte,O1-2-1,detail
O1-2-1-2,Antigüedades,O1-2-1,detail
O1-2-1-3,Coleccionables,O1-2-1,detail
O1-3-1,Taobao,O1-3,detail
O1-3-2,Tmall,O1-3,detail
O1-3-3,AliExpress,O1-3,detail

P1,Cluster Viajes,,detail
P1-1,Aéreos,P1,detail
P1-2,Terrestres,P1,detail
P1-3,Marítimos,P1,detail
P1-1-1,Aerolíneas,P1-1,detail
P1-1-2,Aeropuertos,P1-1,detail
P1-1-3,Rutas,P1-1,detail
P1-1-1-1,Internacionales,P1-1-1,detail
P1-1-1-2,Nacionales,P1-1-1,detail
P1-1-1-3,Low Cost,P1-1-1,detail
P1-1-1-1-1,American Airlines,P1-1-1-1,detail
P1-1-1-1-2,Delta,P1-1-1-1,detail
P1-1-1-1-3,United,P1-1-1-1,detail
P1-1-2-1,Principales,P1-1-2,detail
P1-1-2-2,Regionales,P1-1-2,detail
P1-1-2-3,Privados,P1-1-2,detail
P1-1-2-1-1,JFK,P1-1-2-1,detail
P1-1-2-1-2,LAX,P1-1-2-1,detail
P1-1-2-1-3,ORD,P1-1-2-1,detail
P1-2-1,Autobuses,P1-2,detail
P1-2-2,Trenes,P1-2,detail
P1-2-3,Coches,P1-2,detail
P1-2-1-1,Urbanos,P1-2-1,detail
P1-2-1-2,Interurbanos,P1-2-1,detail
P1-2-1-3,Internacionales,P1-2-1,detail
P1-3-1,Cruceros,P1-3,detail
P1-3-2,Ferries,P1-3,detail
P1-3-3,Yates,P1-3,detail

Q1,Cluster Deportes Extremos,,detail
Q1-1,Aéreos,Q1,detail
Q1-2,Terrestres,Q1,detail
Q1-3,Acuáticos,Q1,detail
Q1-1-1,Paracaidismo,Q1-1,detail
Q1-1-2,Ala Delta,Q1-1,detail
Q1-1-3,Parapente,Q1-1,detail
Q1-1-1-1,Solo,Q1-1-1,detail
Q1-1-1-2,Tándem,Q1-1-1,detail
Q1-1-1-3,Formación,Q1-1-1,detail
Q1-1-1-1-1,Principiantes,Q1-1-1-1,detail
Q1-1-1-1-2,Intermedios,Q1-1-1-1,detail
Q1-1-1-1-3,Avanzados,Q1-1-1-1,detail
Q1-2-1,Escalada,Q1-2,detail
Q1-2-2,Montañismo,Q1-2,detail
Q1-2-3,Parkour,Q1-2,detail
Q1-2-1-1,Roca,Q1-2-1,detail
Q1-2-1-2,Hielo,Q1-2-1,detail
Q1-2-1-3,Indoor,Q1-2-1,detail
Q1-2-1-1-1,Libre,Q1-2-1-1,detail
Q1-2-1-1-2,Asegurada,Q1-2-1-1,detail
Q1-2-1-1-3,Deportiva,Q1-2-1-1,detail
Q1-3-1,Surf,Q1-3,detail
Q1-3-2,Buceo,Q1-3,detail
Q1-3-3,Rafting,Q1-3,detail
Q1-3-1-1,Olas Grandes,Q1-3-1,detail
Q1-3-1-2,Longboard,Q1-3-1,detail
Q1-3-1-3,Shortboard,Q1-3-1,detail

R1,Cluster Arte Digital,,detail
R1-1,3D,R1,detail
R1-2,2D,R1,detail
R1-3,Animación,R1,detail
R1-1-1,Modelado,R1-1,detail
R1-1-2,Texturizado,R1-1,detail
R1-1-3,Renderizado,R1-1,detail
R1-1-1-1,Personajes,R1-1-1,detail
R1-1-1-2,Entornos,R1-1-1,detail
R1-1-1-3,Objetos,R1-1-1,detail
R1-1-1-1-1,Realistas,R1-1-1-1,detail
R1-1-1-1-2,Estilizados,R1-1-1-1,detail
R1-1-1-1-3,Abstractos,R1-1-1-1,detail
R1-1-2-1,Difuso,R1-1-2,detail
R1-1-2-2,Especular,R1-1-2,detail
R1-1-2-3,Normal,R1-1-2,detail
R1-1-2-1-1,Orgánicos,R1-1-2-1,detail
R1-1-2-1-2,Inorgánicos,R1-1-2-1,detail
R1-1-2-1-3,Procedurales,R1-1-2-1,detail
R1-2-1,Concept Art,R1-2,detail
R1-2-2,Ilustración,R1-2,detail
R1-2-3,Fotografía,R1-2,detail
R1-2-1-1,Personajes,R1-2-1,detail
R1-2-1-2,Entornos,R1-2-1,detail
R1-2-1-3,Vehículos,R1-2-1,detail
R1-3-1,2D,R1-3,detail
R1-3-2,3D,R1-3,detail
R1-3-3,Stop Motion,R1-3,detail
R1-3-1-1,Tradicional,R1-3-1,detail
R1-3-1-2,Digital,R1-3-1,detail
R1-3-1-3,Híbrida,R1-3-1,detail

S1,Cluster Criptomonedas,,detail
S1-1,Bitcoin,S1,detail
S1-2,Ethereum,S1,detail
S1-3,Altcoins,S1,detail
S1-1-1,Minado,S1-1,detail
S1-1-2,Inversión,S1-1,detail
S1-1-3,Pagos,S1-1,detail
S1-1-1-1,ASIC,S1-1-1,detail
S1-1-1-2,GPU,S1-1-1,detail
S1-1-1-3,CPU,S1-1-1,detail
S1-1-1-1-1,Antminer,S1-1-1-1,detail
S1-1-1-1-2,Whatsminer,S1-1-1-1,detail
S1-1-1-1-3,Innosilicon,S1-1-1-1,detail
S1-1-2-1,Long Term,S1-1-2,detail
S1-1-2-2,Day Trading,S1-1-2,detail
S1-1-2-3,Swing Trading,S1-1-2,detail
S1-1-2-1-1,HODL,S1-1-2-1,detail
S1-1-2-1-2,DCA,S1-1-2-1,detail
S1-1-2-1-3,Staking,S1-1-2-1,detail
S1-2-1,Smart Contracts,S1-2,detail
S1-2-2,DeFi,S1-2,detail
S1-2-3,NFTs,S1-2,detail
S1-2-1-1,ERC-20,S1-2-1,detail
S1-2-1-2,ERC-721,S1-2-1,detail
S1-2-1-3,ERC-1155,S1-2-1,detail
S1-3-1,Cardano,S1-3,detail
S1-3-2,Solana,S1-3,detail
S1-3-3,Polkadot,S1-3,detail
S1-3-1-1,ADA,S1-3-1,detail
S1-3-1-2,Staking,S1-3-1,detail
S1-3-1-3,Governance,S1-3-1,detail

T1,Cluster Inteligencia Artificial,,detail
T1-1,Machine Learning,T1,detail
T1-2,Deep Learning,T1,detail
T1-3,Computer Vision,T1,detail
T1-1-1,Supervised,T1-1,detail
T1-1-2,Unsupervised,T1-1,detail
T1-1-3,Reinforcement,T1-1,detail
T1-1-1-1,Classification,T1-1-1,detail
T1-1-1-2,Regression,T1-1-1,detail
T1-1-1-3,Clustering,T1-1-1,detail
T1-1-1-1-1,Binary,T1-1-1-1,detail
T1-1-1-1-2,Multi-class,T1-1-1-1,detail
T1-1-1-1-3,Multi-label,T1-1-1-1,detail
T1-1-2-1,K-means,T1-1-2,detail
T1-1-2-2,DBSCAN,T1-1-2,detail
T1-1-2-3,Hierarchical,T1-1-2,detail
T1-1-2-1-1,Centroids,T1-1-2-1,detail
T1-1-2-1-2,Density,T1-1-2-1,detail
T1-1-2-1-3,Distribution,T1-1-2-1,detail
T1-2-1,Neural Networks,T1-2,detail
T1-2-2,CNN,T1-2,detail
T1-2-3,RNN,T1-2,detail
T1-2-1-1,Feedforward,T1-2-1,detail
T1-2-1-2,Recurrent,T1-2-1,detail
T1-2-1-3,Convolutional,T1-2-1,detail
T1-2-1-1-1,Input Layer,T1-2-1-1,detail
T1-2-1-1-2,Hidden Layers,T1-2-1-1,detail
T1-2-1-1-3,Output Layer,T1-2-1-1,detail
T1-3-1,Object Detection,T1-3,detail
T1-3-2,Image Segmentation,T1-3,detail
T1-3-3,Facial Recognition,T1-3,detail
T1-3-1-1,YOLO,T1-3-1,detail
T1-3-1-2,R-CNN,T1-3-1,detail
T1-3-1-3,SSD,T1-3-1,detail 
