id,parent,name,subtitle,url,styleClass,img
43,21,Node 43,subtitle 43,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
44,22,Node 44,subtitle 44,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
45,22,Node 45,subtitle 45,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
46,23,Node 46,subtitle 46,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
47,23,Node 47,subtitle 47,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
48,24,Node 48,subtitle 48,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
49,24,Node 49,subtitle 49,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
50,25,Node 50,subtitle 50,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
51,25,Node 51,subtitle 51,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
52,26,Node 52,subtitle 52,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
53,26,Node 53,subtitle 53,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
54,27,Node 54,subtitle 54,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
55,27,Node 55,subtitle 55,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
56,28,Node 56,subtitle 56,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
57,28,Node 57,subtitle 57,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
58,29,Node 58,subtitle 58,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
59,29,Node 59,subtitle 59,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
60,30,Node 60,subtitle 60,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
61,30,Node 61,subtitle 61,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
62,31,Node 62,subtitle 62,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
63,31,Node 63,subtitle 63,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
64,32,Node 64,subtitle 64,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
65,32,Node 65,subtitle 65,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
66,33,Node 66,subtitle 66,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
67,33,Node 67,subtitle 67,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
68,34,Node 68,subtitle 68,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
69,34,Node 69,subtitle 69,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
70,35,Node 70,subtitle 70,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
71,35,Node 71,subtitle 71,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
72,36,Node 72,subtitle 72,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
73,36,Node 73,subtitle 73,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
74,37,Node 74,subtitle 74,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
75,37,Node 75,subtitle 75,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
76,38,Node 76,subtitle 76,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
77,38,Node 77,subtitle 77,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
78,39,Node 78,subtitle 78,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
79,39,Node 79,subtitle 79,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
80,40,Node 80,subtitle 80,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
81,40,Node 81,subtitle 81,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
82,41,Node 82,subtitle 82,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
83,41,Node 83,subtitle 83,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
84,42,Node 84,subtitle 84,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
85,42,Node 85,subtitle 85,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
86,43,Node 86,subtitle 86,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
87,43,Node 87,subtitle 87,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
88,44,Node 88,subtitle 88,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
89,44,Node 89,subtitle 89,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
90,45,Node 90,subtitle 90,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
91,45,Node 91,subtitle 91,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
92,46,Node 92,subtitle 92,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
93,46,Node 93,subtitle 93,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
94,47,Node 94,subtitle 94,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
95,47,Node 95,subtitle 95,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
96,48,Node 96,subtitle 96,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
97,48,Node 97,subtitle 97,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
98,49,Node 98,subtitle 98,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
99,49,Node 99,subtitle 99,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
100,50,Node 100,subtitle 100,https://swanix.org/diagrams/lib/form.svg,finance-node,https://swanix.org/diagrams/lib/form.svg
