Node,Name,Parent,Type,Img,Description,Position,Department
MSFT-1-1-2,Director 2,MSFT-1-1,profile,supervisor_account,Director de Engineering,Director Engineering,Engineering
MSFT-1-1-2-1,Manager 1,MSFT-1-1-2,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
MSFT-1-1-2-1-1,Employee 1,MSFT-1-1-2-1,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
MSFT-1-1-2-2,Manager 2,MSFT-1-1-2,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
MSFT-1-1-2-2-1,Employee 1,MSFT-1-1-2-2,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
MSFT-1-1-2-3,Manager 3,MSFT-1-1-2,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
MSFT-1-1-2-3-1,Employee 1,MSFT-1-1-2-3,profile,person,CFO de Engineering,CFO Engineering,Engineering
MSFT-1-1-3,Director 3,MSFT-1-1,profile,supervisor_account,Director de Engineering,Director Engineering,Engineering
MSFT-1-1-3-1,Manager 1,MSFT-1-1-3,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
MSFT-1-1-3-1-1,Employee 1,MSFT-1-1-3-1,profile,star,Lead de Engineering,Lead Engineering,Engineering
MSFT-1-1-3-2,Manager 2,MSFT-1-1-3,profile,person,Manager de Engineering,Manager Engineering,Engineering
MSFT-1-1-3-2-1,Employee 1,MSFT-1-1-3-2,profile,person,CEO de Engineering,CEO Engineering,Engineering
MSFT-1-2,VP Marketing,MSFT-1,profile,person,VP de Marketing,VP Marketing,Marketing
MSFT-1-2-1,Director 1,MSFT-1-2,profile,person,Director de Marketing,Director Marketing,Marketing
MSFT-1-2-1-1,Manager 1,MSFT-1-2-1,profile,person,Manager de Marketing,Manager Marketing,Marketing
MSFT-1-2-1-1-1,Employee 1,MSFT-1-2-1-1,profile,person,CTO de Marketing,CTO Marketing,Marketing
MSFT-1-2-1-1-2,Employee 2,MSFT-1-2-1-1,profile,person,CFO de Marketing,CFO Marketing,Marketing
MSFT-1-2-1-2,Manager 2,MSFT-1-2-1,profile,person,Manager de Marketing,Manager Marketing,Marketing
MSFT-1-2-1-2-1,Employee 1,MSFT-1-2-1-2,profile,person,VP de Marketing,VP Marketing,Marketing
MSFT-1-2-1-2-2,Employee 2,MSFT-1-2-1-2,profile,person,Director de Marketing,Director Marketing,Marketing
MSFT-1-2-1-3,Manager 3,MSFT-1-2-1,profile,person,Manager de Marketing,Manager Marketing,Marketing
MSFT-1-2-1-3-1,Employee 1,MSFT-1-2-1-3,profile,person,CEO de Marketing,CEO Marketing,Marketing
MSFT-1-2-2,Director 2,MSFT-1-2,profile,person,Director de Marketing,Director Marketing,Marketing
MSFT-1-2-2-1,Manager 1,MSFT-1-2-2,profile,person,Manager de Marketing,Manager Marketing,Marketing
MSFT-1-2-2-1-1,Employee 1,MSFT-1-2-2-1,profile,person,CEO de Marketing,CEO Marketing,Marketing
MSFT-1-2-2-1-2,Employee 2,MSFT-1-2-2-1,profile,person,Senior de Marketing,Senior Marketing,Marketing
MSFT-1-2-2-2,Manager 2,MSFT-1-2-2,profile,person,Manager de Marketing,Manager Marketing,Marketing
MSFT-1-2-2-2-1,Employee 1,MSFT-1-2-2-2,profile,profile,CFO de Marketing,CFO Marketing,Marketing
MSFT-1-2-2-3,Manager 3,MSFT-1-2-2,profile,profile,Manager de Marketing,Manager Marketing,Marketing
MSFT-1-2-2-3-1,Employee 1,MSFT-1-2-2-3,profile,profile,CTO de Marketing,CTO Marketing,Marketing
MSFT-1-2-2-3-2,Employee 2,MSFT-1-2-2-3,profile,profile,CTO de Marketing,CTO Marketing,Marketing
MSFT-1-3,VP Sales,MSFT-1,profile,profile,VP de Sales,VP Sales,Sales
MSFT-1-3-1,Director 1,MSFT-1-3,profile,profile,Director de Sales,Director Sales,Sales
MSFT-1-3-1-1,Manager 1,MSFT-1-3-1,profile,profile,Manager de Sales,Manager Sales,Sales
MSFT-1-3-1-1-1,Employee 1,MSFT-1-3-1-1,profile,profile,Manager de Sales,Manager Sales,Sales
MSFT-1-3-1-1-2,Employee 2,MSFT-1-3-1-1,profile,profile,Intern de Sales,Intern Sales,Sales
MSFT-1-3-1-2,Manager 2,MSFT-1-3-1,profile,profile,Manager de Sales,Manager Sales,Sales
MSFT-1-3-1-2-1,Employee 1,MSFT-1-3-1-2,profile,profile,CEO de Sales,CEO Sales,Sales
MSFT-1-3-2,Director 2,MSFT-1-3,profile,profile,Director de Sales,Director Sales,Sales
MSFT-1-3-2-1,Manager 1,MSFT-1-3-2,profile,profile,Manager de Sales,Manager Sales,Sales
MSFT-1-3-2-1-1,Employee 1,MSFT-1-3-2-1,profile,profile,Lead de Sales,Lead Sales,Sales
MSFT-1-3-2-2,Manager 2,MSFT-1-3-2,profile,profile,Manager de Sales,Manager Sales,Sales
MSFT-1-3-2-2-1,Employee 1,MSFT-1-3-2-2,profile,profile,CTO de Sales,CTO Sales,Sales
MSFT-1-3-2-2-2,Employee 2,MSFT-1-3-2-2,profile,profile,Senior de Sales,Senior Sales,Sales
GOOGL,Alphabet Inc.,,company,account_balance,Empresa tecnológica líder,CEO,Executive
GOOGL-1,CEO GOOGL,GOOGL,profile,person,CEO de la empresa,Chief Executive Officer,Executive
GOOGL-1-1,VP Engineering,GOOGL-1,profile,computer,VP de Engineering,VP Engineering,Engineering
GOOGL-1-1-1,Director 1,GOOGL-1-1,profile,supervisor_account,Director de Engineering,Director Engineering,Engineering
GOOGL-1-1-1-1,Manager 1,GOOGL-1-1-1,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
GOOGL-1-1-1-1-1,Employee 1,GOOGL-1-1-1-1,profile,person,Senior de Engineering,Senior Engineering,Engineering
GOOGL-1-1-1-2,Manager 2,GOOGL-1-1-1,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
GOOGL-1-1-1-2-1,Employee 1,GOOGL-1-1-1-2,profile,person,CEO de Engineering,CEO Engineering,Engineering
GOOGL-1-1-1-2-2,Employee 2,GOOGL-1-1-1-2,profile,supervisor_account,Director de Engineering,Director Engineering,Engineering
GOOGL-1-1-2,Director 2,GOOGL-1-1,profile,supervisor_account,Director de Engineering,Director Engineering,Engineering
GOOGL-1-1-2-1,Manager 1,GOOGL-1-1-2,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
GOOGL-1-1-2-1-1,Employee 1,GOOGL-1-1-2-1,profile,manage_accounts,Manager de Engineering,Manager Engineering,Engineering
GOOGL-1-1-2-1-2,Employee 2,GOOGL-1-1-2-1,profile,profile,VP de Engineering,VP Engineering,Engineering
GOOGL-1-1-2-2,Manager 2,GOOGL-1-1-2,profile,profile,Manager de Engineering,Manager Engineering,Engineering
GOOGL-1-1-2-2-1,Employee 1,GOOGL-1-1-2-2,profile,profile,CFO de Engineering,CFO Engineering,Engineering
GOOGL-1-1-2-3,Manager 3,GOOGL-1-1-2,profile,profile,Manager de Engineering,Manager Engineering,Engineering
GOOGL-1-1-2-3-1,Employee 1,GOOGL-1-1-2-3,profile,profile,CFO de Engineering,CFO Engineering,Engineering
GOOGL-1-1-2-3-2,Employee 2,GOOGL-1-1-2-3,profile,profile,Intern de Engineering,Intern Engineering,Engineering
GOOGL-1-1-3,Director 3,GOOGL-1-1,profile,profile,Director de Engineering,Director Engineering,Engineering
GOOGL-1-1-3-1,Manager 1,GOOGL-1-1-3,profile,profile,Manager de Engineering,Manager Engineering,Engineering
GOOGL-1-1-3-1-1,Employee 1,GOOGL-1-1-3-1,profile,profile,Lead de Engineering,Lead Engineering,Engineering
GOOGL-1-1-3-1-2,Employee 2,GOOGL-1-1-3-1,profile,profile,Intern de Engineering,Intern Engineering,Engineering
GOOGL-1-1-3-2,Manager 2,GOOGL-1-1-3,profile,profile,Manager de Engineering,Manager Engineering,Engineering
GOOGL-1-1-3-2-1,Employee 1,GOOGL-1-1-3-2,profile,profile,Intern de Engineering,Intern Engineering,Engineering
GOOGL-1-1-3-3,Manager 3,GOOGL-1-1-3,profile,profile,Manager de Engineering,Manager Engineering,Engineering
GOOGL-1-1-3-3-1,Employee 1,GOOGL-1-1-3-3,profile,profile,CFO de Engineering,CFO Engineering,Engineering
GOOGL-1-2,VP Marketing,GOOGL-1,profile,profile,VP de Marketing,VP Marketing,Marketing
GOOGL-1-2-1,Director 1,GOOGL-1-2,profile,profile,Director de Marketing,Director Marketing,Marketing
GOOGL-1-2-1-1,Manager 1,GOOGL-1-2-1,profile,profile,Manager de Marketing,Manager Marketing,Marketing
GOOGL-1-2-1-1-1,Employee 1,GOOGL-1-2-1-1,profile,profile,CTO de Marketing,CTO Marketing,Marketing
GOOGL-1-2-1-1-2,Employee 2,GOOGL-1-2-1-1,profile,profile,Intern de Marketing,Intern Marketing,Marketing
GOOGL-1-2-1-2,Manager 2,GOOGL-1-2-1,profile,profile,Manager de Marketing,Manager Marketing,Marketing
GOOGL-1-2-1-2-1,Employee 1,GOOGL-1-2-1-2,profile,profile,CEO de Marketing,CEO Marketing,Marketing
GOOGL-1-2-1-3,Manager 3,GOOGL-1-2-1,profile,profile,Manager de Marketing,Manager Marketing,Marketing
GOOGL-1-2-1-3-1,Employee 1,GOOGL-1-2-1-3,profile,profile,Senior de Marketing,Senior Marketing,Marketing
GOOGL-1-2-2,Director 2,GOOGL-1-2,profile,profile,Director de Marketing,Director Marketing,Marketing
GOOGL-1-2-2-1,Manager 1,GOOGL-1-2-2,profile,profile,Manager de Marketing,Manager Marketing,Marketing
GOOGL-1-2-2-1-1,Employee 1,GOOGL-1-2-2-1,profile,profile,VP de Marketing,VP Marketing,Marketing
GOOGL-1-2-2-2,Manager 2,GOOGL-1-2-2,profile,profile,Manager de Marketing,Manager Marketing,Marketing
GOOGL-1-2-2-2-1,Employee 1,GOOGL-1-2-2-2,profile,profile,CFO de Marketing,CFO Marketing,Marketing
GOOGL-1-2-2-2-2,Employee 2,GOOGL-1-2-2-2,profile,profile,VP de Marketing,VP Marketing,Marketing
GOOGL-1-2-2-3,Manager 3,GOOGL-1-2-2,profile,profile,Manager de Marketing,Manager Marketing,Marketing
GOOGL-1-2-2-3-1,Employee 1,GOOGL-1-2-2-3,profile,profile,CFO de Marketing,CFO Marketing,Marketing
GOOGL-1-3,VP Sales,GOOGL-1,profile,profile,VP de Sales,VP Sales,Sales
GOOGL-1-3-1,Director 1,GOOGL-1-3,profile,profile,Director de Sales,Director Sales,Sales
GOOGL-1-3-1-1,Manager 1,GOOGL-1-3-1,profile,profile,Manager de Sales,Manager Sales,Sales
GOOGL-1-3-1-1-1,Employee 1,GOOGL-1-3-1-1,profile,profile,CEO de Sales,CEO Sales,Sales
GOOGL-1-3-1-1-2,Employee 2,GOOGL-1-3-1-1,profile,profile,Manager de Sales,Manager Sales,Sales
GOOGL-1-3-1-2,Manager 2,GOOGL-1-3-1,profile,profile,Manager de Sales,Manager Sales,Sales
GOOGL-1-3-1-2-1,Employee 1,GOOGL-1-3-1-2,profile,profile,Director de Sales,Director Sales,Sales
GOOGL-1-3-2,Director 2,GOOGL-1-3,profile,profile,Director de Sales,Director Sales,Sales
GOOGL-1-3-2-1,Manager 1,GOOGL-1-3-2,profile,profile,Manager de Sales,Manager Sales,Sales
GOOGL-1-3-2-1-1,Employee 1,GOOGL-1-3-2-1,profile,profile,Director de Sales,Director Sales,Sales
GOOGL-1-3-2-2,Manager 2,GOOGL-1-3-2,profile,profile,Manager de Sales,Manager Sales,Sales
GOOGL-1-3-2-2-1,Employee 1,GOOGL-1-3-2-2,profile,profile,CEO de Sales,CEO Sales,Sales
GOOGL-1-3-3,Director 3,GOOGL-1-3,profile,profile,Director de Sales,Director Sales,Sales
GOOGL-1-3-3-1,Manager 1,GOOGL-1-3-3,profile,profile,Manager de Sales,Manager Sales,Sales
GOOGL-1-3-3-1-1,Employee 1,GOOGL-1-3-3-1,profile,profile,CFO de Sales,CFO Sales,Sales
GOOGL-1-3-3-2,Manager 2,GOOGL-1-3-3,profile,profile,Manager de Sales,Manager Sales,Sales
GOOGL-1-3-3-2-1,Employee 1,GOOGL-1-3-3-2,profile,profile,Lead de Sales,Lead Sales,Sales
GOOGL-1-3-3-2-2,Employee 2,GOOGL-1-3-3-2,profile,profile,CTO de Sales,CTO Sales,Sales
AMZN,Amazon.com Inc.,,company,detail,Empresa tecnológica líder,CEO,Executive
AMZN-1,CEO AMZN,AMZN,profile,profile,CEO de la empresa,Chief Executive Officer,Executive
AMZN-1-1,VP Engineering,AMZN-1,profile,profile,VP de Engineering,VP Engineering,Engineering
AMZN-1-1-1,Director 1,AMZN-1-1,profile,profile,Director de Engineering,Director Engineering,Engineering
AMZN-1-1-1-1,Manager 1,AMZN-1-1-1,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AMZN-1-1-1-1-1,Employee 1,AMZN-1-1-1-1,profile,profile,CFO de Engineering,CFO Engineering,Engineering
AMZN-1-1-1-1-2,Employee 2,AMZN-1-1-1-1,profile,profile,Junior de Engineering,Junior Engineering,Engineering
AMZN-1-1-1-2,Manager 2,AMZN-1-1-1,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AMZN-1-1-1-2-1,Employee 1,AMZN-1-1-1-2,profile,profile,Senior de Engineering,Senior Engineering,Engineering
AMZN-1-1-1-3,Manager 3,AMZN-1-1-1,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AMZN-1-1-1-3-1,Employee 1,AMZN-1-1-1-3,profile,profile,Lead de Engineering,Lead Engineering,Engineering
AMZN-1-1-2,Director 2,AMZN-1-1,profile,profile,Director de Engineering,Director Engineering,Engineering
AMZN-1-1-2-1,Manager 1,AMZN-1-1-2,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AMZN-1-1-2-1-1,Employee 1,AMZN-1-1-2-1,profile,profile,Director de Engineering,Director Engineering,Engineering
AMZN-1-1-2-2,Manager 2,AMZN-1-1-2,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AMZN-1-1-2-2-1,Employee 1,AMZN-1-1-2-2,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AMZN-1-1-2-2-2,Employee 2,AMZN-1-1-2-2,profile,profile,CEO de Engineering,CEO Engineering,Engineering
AMZN-1-1-3,Director 3,AMZN-1-1,profile,profile,Director de Engineering,Director Engineering,Engineering
AMZN-1-1-3-1,Manager 1,AMZN-1-1-3,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AMZN-1-1-3-1-1,Employee 1,AMZN-1-1-3-1,profile,profile,Junior de Engineering,Junior Engineering,Engineering
AMZN-1-1-3-1-2,Employee 2,AMZN-1-1-3-1,profile,profile,Lead de Engineering,Lead Engineering,Engineering
AMZN-1-1-3-2,Manager 2,AMZN-1-1-3,profile,profile,Manager de Engineering,Manager Engineering,Engineering
AMZN-1-1-3-2-1,Employee 1,AMZN-1-1-3-2,profile,profile,CFO de Engineering,CFO Engineering,Engineering
AMZN-1-1-3-2-2,Employee 2,AMZN-1-1-3-2,profile,profile,Intern de Engineering,Intern Engineering,Engineering
AMZN-1-2,VP Marketing,AMZN-1,profile,profile,VP de Marketing,VP Marketing,Marketing
AMZN-1-2-1,Director 1,AMZN-1-2,profile,profile,Director de Marketing,Director Marketing,Marketing
AMZN-1-2-1-1,Manager 1,AMZN-1-2-1,profile,profile,Manager de Marketing,Manager Marketing,Marketing
AMZN-1-2-1-1-1,Employee 1,AMZN-1-2-1-1,profile,profile,Manager de Marketing,Manager Marketing,Marketing
AMZN-1-2-1-2,Manager 2,AMZN-1-2-1,profile,profile,Manager de Marketing,Manager Marketing,Marketing
AMZN-1-2-1-2-1,Employee 1,AMZN-1-2-1-2,profile,profile,Director de Marketing,Director Marketing,Marketing
AMZN-1-2-2,Director 2,AMZN-1-2,profile,profile,Director de Marketing,Director Marketing,Marketing
AMZN-1-2-2-1,Manager 1,AMZN-1-2-2,profile,profile,Manager de Marketing,Manager Marketing,Marketing
AMZN-1-2-2-1-1,Employee 1,AMZN-1-2-2-1,profile,profile,Lead de Marketing,Lead Marketing,Marketing
AMZN-1-2-2-1-2,Employee 2,AMZN-1-2-2-1,profile,profile,CFO de Marketing,CFO Marketing,Marketing
AMZN-1-2-2-2,Manager 2,AMZN-1-2-2,profile,profile,Manager de Marketing,Manager Marketing,Marketing
AMZN-1-2-2-2-1,Employee 1,AMZN-1-2-2-2,profile,profile,Senior de Marketing,Senior Marketing,Marketing
AMZN-1-3,VP Sales,AMZN-1,profile,profile,VP de Sales,VP Sales,Sales
AMZN-1-3-1,Director 1,AMZN-1-3,profile,profile,Director de Sales,Director Sales,Sales
AMZN-1-3-1-1,Manager 1,AMZN-1-3-1,profile,profile,Manager de Sales,Manager Sales,Sales
AMZN-1-3-1-1-1,Employee 1,AMZN-1-3-1-1,profile,profile,VP de Sales,VP Sales,Sales
AMZN-1-3-1-2,Manager 2,AMZN-1-3-1,profile,profile,Manager de Sales,Manager Sales,Sales
AMZN-1-3-1-2-1,Employee 1,AMZN-1-3-1-2,profile,profile,Lead de Sales,Lead Sales,Sales
AMZN-1-3-1-2-2,Employee 2,AMZN-1-3-1-2,profile,profile,CTO de Sales,CTO Sales,Sales
AMZN-1-3-2,Director 2,AMZN-1-3,profile,profile,Director de Sales,Director Sales,Sales
AMZN-1-3-2-1,Manager 1,AMZN-1-3-2,profile,profile,Manager de Sales,Manager Sales,Sales
AMZN-1-3-2-1-1,Employee 1,AMZN-1-3-2-1,profile,profile,Senior de Sales,Senior Sales,Sales
AMZN-1-3-2-1-2,Employee 2,AMZN-1-3-2-1,profile,profile,CFO de Sales,CFO Sales,Sales
AMZN-1-3-2-2,Manager 2,AMZN-1-3-2,profile,profile,Manager de Sales,Manager Sales,Sales
AMZN-1-3-2-2-1,Employee 1,AMZN-1-3-2-2,profile,profile,CFO de Sales,CFO Sales,Sales
AMZN-1-3-2-2-2,Employee 2,AMZN-1-3-2-2,profile,profile,Junior de Sales,Junior Sales,Sales
AMZN-1-3-2-3,Manager 3,AMZN-1-3-2,profile,profile,Manager de Sales,Manager Sales,Sales
AMZN-1-3-2-3-1,Employee 1,AMZN-1-3-2-3,profile,profile,Intern de Sales,Intern Sales,Sales
AMZN-1-3-2-3-2,Employee 2,AMZN-1-3-2-3,profile,profile,CEO de Sales,CEO Sales,Sales
AMZN-1-3-3,Director 3,AMZN-1-3,profile,profile,Director de Sales,Director Sales,Sales
AMZN-1-3-3-1,Manager 1,AMZN-1-3-3,profile,profile,Manager de Sales,Manager Sales,Sales
AMZN-1-3-3-1-1,Employee 1,AMZN-1-3-3-1,profile,profile,Lead de Sales,Lead Sales,Sales
AMZN-1-3-3-1-2,Employee 2,AMZN-1-3-3-1,profile,profile,Director de Sales,Director Sales,Sales
AMZN-1-3-3-2,Manager 2,AMZN-1-3-3,profile,profile,Manager de Sales,Manager Sales,Sales
AMZN-1-3-3-2-1,Employee 1,AMZN-1-3-3-2,profile,profile,Manager de Sales,Manager Sales,Sales
AMZN-1-3-3-2-2,Employee 2,AMZN-1-3-3-2,profile,profile,CEO de Sales,CEO Sales,Sales
TSLA,Tesla Inc.,,company,detail,Empresa tecnológica líder,CEO,Executive
TSLA-1,CEO TSLA,TSLA,profile,profile,CEO de la empresa,Chief Executive Officer,Executive
TSLA-1-1,VP Engineering,TSLA-1,profile,profile,VP de Engineering,VP Engineering,Engineering
TSLA-1-1-1,Director 1,TSLA-1-1,profile,profile,Director de Engineering,Director Engineering,Engineering
